Country Name,Airport Name,IATA CODE
Australia,Darnley Island Airport,NLF
Australia,Dalby Airport,DBY
Australia,Croker Island Airport,CKI
Australia,Cowra Airport,CWT
Australia,Cue Airport,CUY
Australia,Curtin Airport,DCN
Australia,Cunnamulla Airport,CMA
Australia,Echuca Airport,ECH
Australia,Dunk Island Airport,DKI
Australia,Elcho Island Airport,ELC
Australia,Emerald Airport,EMD
Australia,Eliwana Camp Airport,WHB
Australia,Dubbo City Airport,DBO
Australia,Derby Airport,DRB
Australia,Deniliquin Airport,DNQ
Australia,Devonport Airport,DPO
Australia,Doomadgee Airport,DMD
Australia,Docker River Airport,DKV
Australia,Gove Airport,GOV
Australia,Kalgoorlie Boulder Airport,KGI
Australia,Kalbarri Airport,KAX
Australia,Kalkgurung Daguragu Airport,KFG
Australia,Kambalda Airport,KDB
Australia,Kalumburu Airport,UBU
Australia,Jundee Airport,QBN
Australia,Iron Bridge Airport,IBM
Australia,Inverell Airport,IVR
Australia,Jabiru Airport,JAB
Australia,Julia Creek Airport,JCK
Australia,Jameson Airport,QBJ
Australia,King Island Airport,KNS
Australia,Kerang Airport,KRA
Australia,Kingaroy Airport,KGY
Australia,Kingscote Airport,KGC
Australia,Kings Creek Airport,KCS
Australia,Kempsey Airport,KPS
Australia,Karratha Airport,KTA
Australia,Karara Airport,KQR
Australia,Karumba Airport,KRB
Australia,Katherine Tindal Airport,KTR
Australia,Katanning Airport,KNI
Australia,Innisfail Airport,IFL
Australia,Gunnedah Airport,GUH
Australia,Gunbalanya Oenpelli Airport,OPI
Australia,Gympie Airport,GYP
Australia,Hamilton Airport,HLT
Australia,Halls Creek Airport,HCQ
Australia,Gruyere Mine Site Airport,GYZ
Australia,Greenvale Airport,GVP
Australia,Grafton Clarence Valley Regional Airport,GFN
Australia,Gregory Downs Airport,GGD
Australia,Groote Eylandt Airport,GTE
Australia,Griffith Airport,GFF
Australia,Hughenden Airport,HGD
Australia,Horsham Airport,HSM
Australia,Ingham Airport,IGH
Australia,Inkerman Airport,IKP
Australia,Injune Airport,INJ
Australia,Horn Island Airport,HID
Australia,Hay Airport,HXX
Australia,Hamilton Island Great Barrier Reef Airport,HTI
Australia,Hermannsburg Airport,HMG
Australia,Hobart International Airport,HBA
Australia,Hervey Bay Airport,HVB
Australia,Beverley Airport,QBB
Australia,Bendigo Airport,BXG
Australia,Billiluna Airport,BIW
Australia,Blackall Airport,BKQ
Australia,Birdsville Airport,BVI
Australia,Benalla Airport,BLN
Australia,Beagle Bay Airport,BEE
Australia,Bathurst Airport,BHS
Australia,Bedourie Airport,BEU
Australia,Bellevue Airport,QBU
Australia,Bellburn Airport,BXF
Australia,Brisbane Archerfield Airport,QBA
Australia,Brewarrina Airport,BWQ
Australia,Brisbane Airport,BNE
Australia,Broome International Airport,BME
Australia,Broken Hill Airport,BHQ
Australia,Bowen Airport,ZBO
Australia,Boolgeeda Airport,OCM
Australia,Boigu Island Airport,GIC
Australia,Borroloola Airport,BOX
Australia,Bourke Airport,BRK
Australia,Boulia Airport,BQL
Australia,Barrow Island Airport,BWB
Australia,Argyle Airport,GYL
Australia,Ararat Airport,ARY
Australia,Armidale Airport,ARM
Australia,Ayers Rock Airport,AYQ
Australia,Aurukun Airport,AUU
Australia,Amata Airport,AMT
Australia,Adelaide Airport,ADL
Australia,Adelaide Parafield Airport,QBP
Australia,Albany Airport,ALH
Australia,Alice Springs Airport,ASP
Australia,Albury Airport,ABX
Australia,Bamaga Northern Peninsula Airport,ABM
Australia,Ballina Byron Gateway Airport,BNK
Australia,Bankstown Airport,BWU
Australia,Barimunya Airport,BYP
Australia,Barcaldine Airport,BCI
Australia,Ballera Airport,BBL
Australia,Badu Island Airport,BDD
Australia,Ayr Airport,AYR
Australia,Bairnsdale Airport,BSJ
Australia,Balgo Hill Airport,BQW
Australia,Balcanoona Airport,LCN
Australia,Bunbury Airport,BUY
Australia,Coen Airport,CUQ
Australia,Coconut Island Airport,CNC
Australia,Coffs Harbour Airport,CFS
Australia,Collarenebri Airport,CRB
Australia,Colac Airport,XCO
Australia,Cobar Airport,CAZ
Australia,Clermont Airport,CMQ
Australia,Christmas Island Airport,XCH
Australia,Cleve Airport,CVC
Australia,Cloudbreak Fortescue Dave Forrest Airport,KFE
Australia,Cloncurry Airport,CNJ
Australia,Coonamble Airport,CNB
Australia,Cooma Snowy Mountains Airport,OOM
Australia,Coondewanna Airport,CJF
Australia,Corowa Airport,CWW
Australia,Cootamundra Airport,CMD
Australia,Cooktown Airport,CTN
Australia,Collinsville Airport,KCE
Australia,Collie Airport,CIE
Australia,Condobolin Airport,CBX
Australia,Cooinda Airport,CDA
Australia,Coober Pedy Airport,CPD
Australia,Christmas Creek Mine Airport,CKW
Australia,Camden Airport,CDU
Australia,Caloundra Airport,CUD
Australia,Camooweal Airport,CML
Australia,Cape Barren Island Airport,CBI
Australia,Canberra International Airport,CBR
Australia,Callion Airport,QBI
Australia,Burketown Airport,BUC
Australia,Bundaberg Airport,BDB
Australia,Burnie Airport,BWT
Australia,Cairns Airport,CNS
Australia,Busselton Regional Airport,BQB
Australia,Charleville Airport,CTL
Australia,Cessnock Airport,CES
Australia,Charters Towers Airport,CXT
Australia,Chinchilla Airport,CCL
Australia,Chillagoe Airport,LLG
Australia,Ceduna Airport,CED
Australia,Carnarvon Airport,CVQ
Australia,Cape Preston Airport,QBE
Australia,Carosue Dam Airport,WCD
Australia,Casino Airport,CSI
Australia,Carrapateena Airport,QAC
Australia,Koodaideri Mine Airport,OOD
Australia,St George Airport,SGO
Australia,Southport Airport,SHQ
Australia,Stanthorpe Airport,SNH
Australia,Strahan Airport,SRN
Australia,Stawell Airport,SWC
Australia,Southern Cross Airport,SQC
Australia,Smith Point Airport,SHU
Australia,Skardon River Airport,QBS
Australia,Smithton Airport,SIO
Australia,South Goulburn Island Airport,GBL
Australia,Solomon Airport,SLJ
Australia,Tara Airport,XTR
Australia,Tangalooma Airport,TAN
Australia,Taree Airport,TRO
Australia,Telfer Airport,TEF
Australia,Taroom Airport,XTO
Australia,Tamworth Airport,TMW
Australia,Warraber Island Airport,SYU
Australia,Streaky Bay Airport,KBY
Australia,Sunshine Coast Airport,MCY
Australia,Sydney Kingsford Smith Airport,SYD
Australia,Swan Hill Airport,SWH
Australia,Singleton Airport,SIX
Australia,Ravensthorpe Airport,RVT
Australia,Ramingining Airport,RAM
Australia,Redcliffe Airport,QBR
Australia,Richmond Airport,RCM
Australia,Renmark Airport,RMK
Australia,Quirindi Airport,UIR
Australia,Portland Airport,PTJ
Australia,Port Pirie Airport,PPI
Australia,Prominent Hill Airport,PXH
Australia,Quilpie Airport,ULP
Australia,Proserpine Whitsunday Coast Airport,PPP
Australia,West Sale Airport,SXE
Australia,Saibai Island Airport,SBR
Australia,Scone Airport,NSO
Australia,Shute Harbour Whitsunday Airport,WSY
Australia,Shepparton Airport,SHT
Australia,Rottnest Island Airport,RTS
Australia,Rockhampton Airport,ROK
Australia,Robinvale Airport,RBC
Australia,Roebourne Airport,RBU
Australia,Rothsay Mine Airport,QBY
Australia,Roma Airport,RMA
Australia,Temora Airport,TEM
Australia,Winton Airport,WIN
Australia,Windorah Airport,WNR
Australia,Wodgina Airport,GYB
Australia,Wollongong Shellharbour Airport,WOL
Australia,Wodgina Airport,QBW
Australia,Windarling Airport,WRN
Australia,West Wyalong Airport,WWY
Australia,West Angelas Airport,WLP
Australia,Whyalla Airport,WYA
Australia,Wiluna Airport,WUN
Australia,Wilcannia Airport,WIO
Australia,Yorke Island Airport,OKR
Australia,Yam Island Airport,XMY
Australia,Yorketown Airport,ORR
Australia,Yuendumu Airport,YUE
Australia,Young Airport,NGA
Australia,Yalata Mission Airport,KYI
Australia,Woodie Woodie Airport,WWI
Australia,Wondai Airport,WDI
Australia,Wudinna Airport,WUD
Australia,Wyndham Airport,WYN
Australia,Wurrumiyanga Bathurst Island Airport,BRT
Australia,Weipa Airport,WEI
Australia,Timber Creek Airport,TBK
Australia,Tibooburra Airport,TYB
Australia,Tocumwal Airport,TCW
Australia,Toowoomba Brisbane West Wellcamp Airport,WTB
Australia,Toowoomba Airport,TWB
Australia,Theodore Airport,TDR
Australia,Thangool Airport,THG
Australia,Tennant Creek Airport,TCA
Australia,Thargomindah Airport,XTG
Australia,Theda Station Airport,TDN
Australia,The Granites Airport,GTS
Australia,Walgett Airport,WGE
Australia,Wagga Wagga Airport,WGA
Australia,Wangaratta Airport,WGT
Australia,Warwick Airport,WAZ
Australia,Warrnambool Airport,WMB
Australia,Victoria River Downs Airport,VCD
Australia,Trepell Airport,TQP
Australia,Townsville Airport,TSV
Australia,Tropicana Airport,QBT
Australia,Vanrook Station Airport,VNR
Australia,Tumut Airport,TUM
Australia,Port Macquarie Airport,PQQ
Australia,Maryborough Airport,MBH
Australia,Marree Airport,RRE
Australia,McArthur River Mine Airport,MCV
Australia,Melbourne Moorabbin Airport,MBW
Australia,Meekathara Airport,MKR
Australia,Marla Airport,MRP
Australia,Manjimup Airport,MJP
Australia,Maningrida Airport,MNG
Australia,Marble Bar Airport,MBB
Australia,Margaret River Airport,MQZ
Australia,Mareeba Airport,MRG
Australia,Milikapiti Snake Bay Airport,SNB
Australia,Miles Airport,WLE
Australia,Milingimbi Airport,MGT
Australia,Mitchell Plateau Airport,MIH
Australia,Millicent Airport,MLR
Australia,Mildura Airport,MQL
Australia,Melbourne Avalon Airport,AVV
Australia,Melbourne Essendon Airport,MEB
Australia,Melbourne Airport,MEL
Australia,Middlemount Airport,MMM
Australia,Merimbula Airport,MIM
Australia,Mallacoota Airport,XMC
Australia,Laverton Airport,LVO
Australia,Launceston Airport,LST
Australia,Learmonth Airport,LEA
Australia,Leinster Airport,LER
Australia,Leigh Creek Airport,LGH
Australia,Lajamanu Hooker Creek Airport,HOK
Australia,Kubin Airport,KUG
Australia,Kowanyama Airport,KWM
Australia,Kununurra East Kimberley Regional Airport,KNX
Australia,Lady Elliot Island Airport,LYT
Australia,Labona Airport,QBL
Australia,Lord Howe Island Airport,LDH
Australia,Longreach Airport,LRE
Australia,Mabuiag Island Airport,UBB
Australia,Maitland Airport,MTL
Australia,Mackay Airport,MKY
Australia,Lombadina Airport,QBD
Australia,Lightning Ridge Airport,LHG
Australia,Leonora Airport,LNO
Australia,Lismore Airport,LSY
Australia,Lockhart River Airport,IRG
Australia,Lizard Island Airport,LZR
Australia,Monkey Mia Shark Bay Airport,MJK
Australia,Olympic Dam Airport,OLP
Australia,Oakey Airport,OKY
Australia,Onslow Airport,ONS
Australia,Osborne Mine Airport,OSO
Australia,Orange Airport,OAG
Australia,Numbulwar Airport,NUB
Australia,Noosaville Noosa Airport,NSV
Australia,Nifty Airport,NIF
Australia,Norfolk Island Airport,NLK
Australia,Norseman Airport,NSM
Australia,Normanton Airport,NTN
Australia,Port Augusta Airport,PUG
Australia,Pormpuraaw Edward River Airport,EDR
Australia,Port Hedland International Airport,PHE
Australia,Port Lincoln Airport,PLO
Australia,Port Keats Airport,PKT
Australia,Phosphate Hill The Monument Airport,PHQ
Australia,Paraburdoo Airport,PBO
Australia,Palm Island Airport,PMK
Australia,Parkes Airport,PKE
Australia,Perth Jandakot Airport,JAD
Australia,Perth Airport,PER
Australia,Ngukurr Airport,RPM
Australia,Mount Gambier Airport,MGB
Australia,Morwell Latrobe Regional Airport,TGN
Australia,Mount Holland Airport,QBH
Australia,Mount Keith Airport,WME
Australia,Mount Isa Airport,ISA
Australia,Moruya Airport,MYA
Australia,Moomba Airport,MOO
Australia,Monto Airport,MNQ
Australia,Moranbah Airport,MOV
Australia,Mornington Island Airport,ONG
Australia,Moree Airport,MRZ
Australia,Narrandera Airport,NRA
Australia,Narrabri Airport,NAA
Australia,Newcastle Airport,NTL
Australia,Newman Airport,ZNE
Australia,Newcastle Lake Macquarie Airport,BEO
Australia,Naracoorte Airport,NAC
Australia,Mudgee Airport,DGE
Australia,Mount Magnet Airport,MMG
Australia,Mungalalu Truscott Airport,TTX
Australia,Murrin Murrin Airport,WUI
Australia,Murray Island Airport,MYI
Austria,Klagenfurt Airport,KLU
Austria,Linz Airport,LNZ
Austria,Innsbruck Kranebitten Airport,INN
Austria,Graz Airport,GRZ
Austria,Hohenems Dornbirn Airport,HOH
Austria,Salzburg Airport,SZG
Austria,Vienna Voslau Airport,QOV
Austria,Wiener Neustadt East Airport,QEW
Austria,Zell am See Airport,QOZ
Austria,Sankt Johann Airport,QOJ
Austria,Scharding Suben Airport,QOS
Austria,Vienna International Airport,VIE
Azerbaijan,Ganja International Airport,GNJ
Azerbaijan,Fuzuli International Airport,FZL
Azerbaijan,Baku Heydar Aliyev International Airport,GYD
Azerbaijan,Qabala International Airport,GBB
Azerbaijan,Zangilan International Airport,ZZE
Azerbaijan,Lankaran International Airport,LLK
Azerbaijan,Nakhchivan International Airport,NAJ
Bahamas,Governor's Harbour Airport,GHB
Bahamas,George Town Exuma International Airport,GGT
Bahamas,Freeport Grand Bahama International Airport,FPO
Bahamas,Great Harbour Cay Airport,GHC
Bahamas,Marsh Harbour Airport,MHH
Bahamas,Mangrove Cay Clarence A. Bain Airport,MAY
Bahamas,Inagua Matthew Town Airport,IGA
Bahamas,Duncan Town Airport,DCT
Bahamas,Cat Cays Airport,CXY
Bahamas,Arthur's Town Airport,ATC
Bahamas,Andros Town International Airport,ASD
Bahamas,Chub Cay International Airport,CCZ
Bahamas,Deadman's Cay Airport,LGI
Bahamas,Crooked Island Colonel Hill Airport,CRI
Bahamas,Congo Town South Andros Airport,TZN
Bahamas,Spring Point Airport,AXP
Bahamas,Staniel Cay Airport,TYM
Bahamas,San Salvador Airport,ZSA
Bahamas,South Bimini Airport,BIM
Bahamas,Walkers Cay Airport,WKR
Bahamas,West End Airport,WTD
Bahamas,Stella Maris Airport,SML
Bahamas,Treasure Cay Airport,TCB
Bahamas,New Bight Airport,TBI
Bahamas,Norman's Cay Airport,NMC
Bahamas,Mayaguana Airport,MYG
Bahamas,Nassau Lynden Pindling International Airport,NAS
Bahamas,Rock Sound International Airport,RSD
Bahamas,San Andros Airport,SAQ
Bahamas,North Eleuthera Airport,ELH
Bahamas,Pitts Town Airport,PWN
Bahrain,Awali Sakhir Air Base,KHB
Bahrain,Bahrain International Airport,BAH
Bangladesh,Cox's Bazar Airport,CXB
Bangladesh,Chittagong Shah Amanat International Airport,CGP
Bangladesh,Barisal Airport,BZL
Bangladesh,Dhaka Shahjalal International Airport,DAC
Bangladesh,Saidpur Airport,SPD
Bangladesh,Sylhet Osmani International Airport,ZYL
Bangladesh,Jessore Airport,JSR
Bangladesh,Rajshahi Shah Makhdum Airport,RJH
Barbados,Bridgetown Grantley Adams International Airport,BGI
Belarus,Gomel Airport,GME
Belarus,Brest Airport,BQT
Belarus,Grodno Hrodna Airport,GNA
Belarus,Vitebsk Vostochny Airport,VTB
Belarus,Mogilev Airport,MVQ
Belarus,Minsk National Airport,MSQ
Belgium,Brussels Airport,BRU
Belgium,Antwerp International Airport,ANR
Belgium,Brussels South Charleroi Airport,CRL
Belgium,Ostend Bruges International Airport,OST
Belgium,Liege Airport,LGG
Belgium,Kortrijk Wevelgem International Airport,KJK
Belize,Caye Caulker Airport,CUK
Belize,Belize City Sir Barry Bowen Municipal Airport,TZA
Belize,Belize City Philip S. W. Goldson International Airport,BZE
Belize,Corozal Airport,CZH
Belize,Punta Gorda Airport,PND
Belize,San Pedro John Greif II Airport,SPR
Belize,Dangriga Airport,DGA
Belize,Placencia Airport,PLJ
Benin,Cotonou Cadjehoun Airport,COO
Bermuda,Bermuda L.F. Wade International Airport,BDA
Bhutan,Gelephu Airport,GLU
Bhutan,Jakar Bathpalathang Airport,BUT
Bhutan,Trashigang Yongphulla Airport,YON
Bhutan,Paro Airport,PBH
Bolivia,La Paz El Alto International Airport,LPB
Bolivia,Huacaraje Airport,BVK
Bolivia,Potosi Captain Nicolas Rojas Airport,POI
Bolivia,Oruro Juan Mendoza Airport,ORU
Bolivia,Cobija Capitan Anibal Arab Airport,CIJ
Bolivia,Chimore Airport,CCA
Bolivia,Guayaramerin Airport,GYA
Bolivia,Cochabamba Jorge Wilstermann International Airport,CBB
Bolivia,Trinidad Teniente Jorge Henrich Arauz Airport,TDD
Bolivia,Tarija Airport,TJA
Bolivia,Yacuiba Airport,BYC
Bolivia,Uyuni Joya Andina Airport,UYU
Bolivia,Sucre Alcantari International Airport,SRE
Bolivia,Rurrenabaque Airport,RBQ
Bolivia,Riberalta Airport,RIB
Bolivia,Santa Cruz Viru Viru International Airport,VVI
Bolivia,Santa Cruz El Trompillo Airport,SRZ
Bosnia And Herzegovina,Banja Luka International Airport,BNX
Bosnia And Herzegovina,Mostar International Airport,OMO
Bosnia And Herzegovina,Tuzla International Airport,TZL
Bosnia And Herzegovina,Sarajevo International Airport,SJJ
Botswana,Francistown Phillip Gaonwe Matante International Airport,FRW
Botswana,Gaborone Sir Seretse Khama International Airport,GBE
Botswana,Maun Airport,MUB
Botswana,Kasane Airport,BBK
Brazil,Eirunepe Amaury Feitosa Tomaz Airport,ERN
Brazil,Erechim Airport,ERM
Brazil,Feira de Santana Airport,FEC
Brazil,Curitiba Afonso Pena International Airport,CWB
Brazil,Divinopolis Airport,DIQ
Brazil,Dourados Airport,DOU
Brazil,Foz do Iguacu International Airport,IGU
Brazil,Franca Airport,FRC
Brazil,Francisco Beltrao Airport,FBE
Brazil,Fernando de Noronha Airport,FEN
Brazil,Florianopolis Hercilio Luz International Airport,FLN
Brazil,Fortaleza Pinto Martins International Airport,FOR
Brazil,Curitiba Bacacheri Airport,BFH
Brazil,Coari Airport,CIZ
Brazil,Confresa Airport,CFO
Brazil,Cornelio Procopio Airport,CKO
Brazil,Caxias do Sul Airport,CXJ
Brazil,Chapeco Airport,XAP
Brazil,Cianorte Airport,GGH
Brazil,Criciuma Diomicio Freitas Airport,CCM
Brazil,Cruzeiro do Sul International Airport,CZS
Brazil,Cuiaba Marechal Rondon International Airport,CGB
Brazil,Correia Pinto Planalto Serrano Regional Airport,EEA
Brazil,Corumba International Airport,CMG
Brazil,Crateus Airport,JCS
Brazil,Garanhuns Airport,QGP
Brazil,Ji-Parana Airport,JPR
Brazil,Joao Pessoa Castro Pinto International Airport,JPA
Brazil,Joinville Lauro Carneiro de Loyola Airport,JOI
Brazil,Jaguaruna Regional Airport,JJG
Brazil,Jatai Airport,JTI
Brazil,Jericoacoara Airport,JJD
Brazil,Jundiai Airport,QDV
Brazil,Juruti Airport,JRT
Brazil,Labrea Airport,LBR
Brazil,Juazeiro do Norte Airport,JDO
Brazil,Juina Airport,JIA
Brazil,Juiz de Fora Francisco de Assis Airport,JDF
Brazil,Itanhaem Airport,TTY
Brazil,Guaira Airport,GGJ
Brazil,Guanambi Airport,GNM
Brazil,Guarapuava Airport,GPB
Brazil,Goiana Presidente Itamar Franco Airport,IZA
Brazil,Goiania Santa Genoveva Airport,GYN
Brazil,Governador Valadares Airport,GVR
Brazil,Imperatriz Airport,IMP
Brazil,Ipatinga Usiminas Airport,IPN
Brazil,Itaituba Airport,ITB
Brazil,Gurupi Airport,GRP
Brazil,Iguatu Airport,QIG
Brazil,Ilheus Jorge Amado Airport,IOS
Brazil,Cascavel Adalberto Mendes da Silva Airport,CAC
Brazil,Araxa Airport,AAX
Brazil,Aripuana Airport,AIR
Brazil,Ariquemes Airport,AQM
Brazil,Arapongas Airport,APX
Brazil,Araraquara Airport,AQA
Brazil,Araripina Airport,JAW
Brazil,Barreiras Airport,BRA
Brazil,Barreirinhas Airport,BRB
Brazil,Bauru Arealva Airport,JTC
Brazil,Bage Comandante Gustavo Kraemer Airport,BGX
Brazil,Barcelos Airport,BAZ
Brazil,Barra do Garcas Airport,BPG
Brazil,Araguaina Airport,AUX
Brazil,Alta Floresta Airport,AFL
Brazil,Altamira Airport,ATM
Brazil,Anapolis Airport,APS
Brazil,Agua Boa Airport,GGB
Brazil,Alegrete Novo Airport,ALQ
Brazil,Almeirim Airport,GGF
Brazil,Aracaju Santa Maria Airport,AJU
Brazil,Aracati Airport,ARX
Brazil,Aracatuba Airport,ARU
Brazil,Angra dos Reis Airport,GDR
Brazil,Apucarana Airport,APU
Brazil,Apui Airport,IUP
Brazil,Belem Val de Cans International Airport,BEL
Brazil,Campinas Viracopos International Airport,VCP
Brazil,Campo Grande International Airport,CGR
Brazil,Campo Mourao Airport,CBW
Brazil,Cajazeiras Airport,CJZ
Brazil,Caldas Novas Airport,CLV
Brazil,Campina Grande Airport,CPV
Brazil,Carauari Airport,CAF
Brazil,Caravelas Airport,CRQ
Brazil,Caruaru Airport,CAU
Brazil,Campos dos Goytacazes Bartolomeu Lysandro Airport,CAW
Brazil,Canela Airport,CEL
Brazil,Carajas Airport,CKS
Brazil,Cairu Lorenzo Airport,MXQ
Brazil,Boa Vista International Airport,BVB
Brazil,Bonito Airport,BYO
Brazil,Borba Airport,RBB
Brazil,Belo Horizonte Pampulha Airport,PLU
Brazil,Belo Horizonte Tancredo Neves International Airport,CNF
Brazil,Blumenau Airport,BNU
Brazil,Buzios Umberto Modiano Airport,BZC
Brazil,Cabo Frio International Airport,CFB
Brazil,Cacoal Airport,OAL
Brazil,Braganca Paulista Arthur Siqueira Airport,BJP
Brazil,Brasilia International Airport,BSB
Brazil,Breves Airport,BVS
Brazil,Sao Jose Do Rio Preto Airport,SJP
Brazil,Sao Jose dos Campos Airport,SJK
Brazil,Sao Luis Airport,SLZ
Brazil,Sao Carlos Airport,QSC
